Absolute Time,eta_hat_psi,eta_hat_x,eta_hat_y, eta_tilde_psi, eta_tilde_x, eta_tilde_y,nu_psi_hat, nu_x_hat, nu_y_hat,eta_mpsi,eta_mx,eta_my
3572767113.184815,-0.007489,-0.553462,-0.375143,-0.000000,-0.000019,-0.000007,-0.000063,-0.003930,-0.001526,-0.007489,-0.553481,-0.375150
3572767113.194817,-0.007490,-0.553501,-0.375158,-0.000000,-0.000019,-0.000007,-0.000063,-0.003928,-0.001525,-0.007490,-0.553521,-0.375165
3572767113.204816,-0.007490,-0.553541,-0.375173,-0.000000,-0.000019,-0.000007,-0.000062,-0.003927,-0.001524,-0.007491,-0.553560,-0.375180
3572767113.214817,-0.007491,-0.553580,-0.375188,-0.000000,-0.000019,-0.000007,-0.000062,-0.003925,-0.001523,-0.007491,-0.553599,-0.375194
3572767113.224816,-0.007492,-0.553619,-0.375203,-0.000000,-0.000019,-0.000007,-0.000062,-0.003924,-0.001522,-0.007492,-0.553639,-0.375209
3572767113.234817,-0.007492,-0.553659,-0.375217,-0.000000,-0.000019,-0.000007,-0.000062,-0.003922,-0.001521,-0.007492,-0.553678,-0.375224
3572767113.244815,-0.007493,-0.553698,-0.375232,-0.000000,-0.000019,-0.000007,-0.000062,-0.003921,-0.001520,-0.007493,-0.553717,-0.375239
3572767113.254819,-0.007493,-0.553737,-0.375247,-0.000000,-0.000019,-0.000007,-0.000062,-0.003919,-0.001519,-0.007494,-0.553756,-0.375254
3572767113.264818,-0.007494,-0.553776,-0.375262,-0.000000,-0.000019,-0.000007,-0.000062,-0.003917,-0.001518,-0.007494,-0.553796,-0.375269
3572767113.274817,-0.007495,-0.553816,-0.375277,-0.000000,-0.000019,-0.000007,-0.000062,-0.003916,-0.001517,-0.007495,-0.553835,-0.375283
3572767113.284818,-0.007495,-0.553855,-0.375291,-0.000000,-0.000019,-0.000007,-0.000062,-0.003914,-0.001516,-0.007496,-0.553874,-0.375298
3572767113.294818,-0.007496,-0.553894,-0.375306,-0.000000,-0.000019,-0.000007,-0.000062,-0.003913,-0.001515,-0.007496,-0.553913,-0.375313
3572767113.304819,-0.007497,-0.553933,-0.375321,-0.000000,-0.000019,-0.000007,-0.000062,-0.003911,-0.001514,-0.007497,-0.553952,-0.375328
3572767113.314820,-0.007497,-0.553972,-0.375336,-0.000000,-0.000019,-0.000007,-0.000062,-0.003910,-0.001513,-0.007497,-0.553992,-0.375342
3572767113.324820,-0.007498,-0.554011,-0.375350,-0.000000,-0.000019,-0.000007,-0.000062,-0.003908,-0.001512,-0.007498,-0.554031,-0.375357
3572767113.334819,-0.007498,-0.554051,-0.375365,-0.000000,-0.000019,-0.000007,-0.000062,-0.003907,-0.001511,-0.007499,-0.554070,-0.375372
3572767113.344819,-0.007499,-0.554090,-0.375380,-0.000000,-0.000019,-0.000007,-0.000062,-0.003905,-0.001510,-0.007499,-0.554109,-0.375387
3572767113.354820,-0.007500,-0.554129,-0.375395,-0.000000,-0.000019,-0.000007,-0.000062,-0.003904,-0.001509,-0.007500,-0.554148,-0.375401
3572767113.364820,-0.007500,-0.554168,-0.375409,-0.000000,-0.000019,-0.000007,-0.000062,-0.003902,-0.001508,-0.007500,-0.554187,-0.375416
3572767113.374821,-0.007501,-0.554207,-0.375424,-0.000000,-0.000019,-0.000007,-0.000062,-0.003901,-0.001507,-0.007501,-0.554226,-0.375431
3572767113.384820,-0.007501,-0.554246,-0.375439,-0.000000,-0.000019,-0.000007,-0.000062,-0.003899,-0.001506,-0.007502,-0.554265,-0.375445
3572767113.394822,-0.007502,-0.554285,-0.375453,-0.000000,-0.000019,-0.000007,-0.000061,-0.003898,-0.001505,-0.007502,-0.554304,-0.375460
3572767113.404820,-0.007503,-0.554324,-0.375468,-0.000000,-0.000019,-0.000007,-0.000061,-0.003896,-0.001504,-0.007503,-0.554343,-0.375475
3572767113.414822,-0.007503,-0.554363,-0.375483,-0.000000,-0.000019,-0.000007,-0.000061,-0.003895,-0.001503,-0.007503,-0.554382,-0.375489
3572767113.424822,-0.007504,-0.554402,-0.375497,-0.000000,-0.000019,-0.000007,-0.000061,-0.003893,-0.001502,-0.007504,-0.554421,-0.375504
3572767113.434823,-0.007504,-0.554441,-0.375512,-0.000000,-0.000019,-0.000007,-0.000061,-0.003892,-0.001501,-0.007505,-0.554460,-0.375519
3572767113.444822,-0.007505,-0.554480,-0.375527,-0.000000,-0.000019,-0.000007,-0.000061,-0.003890,-0.001500,-0.007505,-0.554499,-0.375533
3572767113.454822,-0.007506,-0.554519,-0.375541,-0.000000,-0.000019,-0.000007,-0.000061,-0.003888,-0.001499,-0.007506,-0.554538,-0.375548
3572767113.464822,-0.007506,-0.554558,-0.375556,-0.000000,-0.000019,-0.000007,-0.000061,-0.003887,-0.001498,-0.007507,-0.554577,-0.375562
3572767113.474823,-0.007507,-0.554597,-0.375570,-0.000000,-0.000019,-0.000007,-0.000061,-0.003885,-0.001497,-0.007507,-0.554616,-0.375577
3572767113.484823,-0.007508,-0.554636,-0.375585,-0.000000,-0.000019,-0.000007,-0.000061,-0.003884,-0.001496,-0.007508,-0.554655,-0.375592
3572767113.494825,-0.007508,-0.554675,-0.375600,-0.000000,-0.000019,-0.000007,-0.000061,-0.003882,-0.001495,-0.007508,-0.554694,-0.375606
3572767113.504823,-0.007509,-0.554713,-0.375614,-0.000000,-0.000019,-0.000007,-0.000061,-0.003881,-0.001494,-0.007509,-0.554733,-0.375621
3572767113.514825,-0.007509,-0.554752,-0.375629,-0.000000,-0.000019,-0.000007,-0.000061,-0.003879,-0.001493,-0.007510,-0.554772,-0.375635
3572767113.524825,-0.007510,-0.554791,-0.375643,-0.000000,-0.000019,-0.000007,-0.000061,-0.003878,-0.001492,-0.007510,-0.554810,-0.375650
3572767113.534825,-0.007511,-0.554830,-0.375658,-0.000000,-0.000019,-0.000007,-0.000061,-0.003876,-0.001491,-0.007511,-0.554849,-0.375664
3572767113.544825,-0.007511,-0.554869,-0.375672,-0.000000,-0.000019,-0.000007,-0.000061,-0.003875,-0.001490,-0.007511,-0.554888,-0.375679
3572767113.554826,-0.007512,-0.554908,-0.375687,-0.000000,-0.000019,-0.000007,-0.000061,-0.003873,-0.001490,-0.007512,-0.554927,-0.375693
3572767113.564826,-0.007512,-0.554946,-0.375701,-0.000000,-0.000019,-0.000007,-0.000061,-0.003872,-0.001489,-0.007513,-0.554966,-0.375708
3572767113.574825,-0.007513,-0.554985,-0.375716,-0.000000,-0.000019,-0.000007,-0.000061,-0.003870,-0.001488,-0.007513,-0.555004,-0.375722
3572767113.584826,-0.007514,-0.555024,-0.375730,-0.000000,-0.000019,-0.000007,-0.000060,-0.003869,-0.001487,-0.007514,-0.555043,-0.375737
3572767113.594826,-0.007514,-0.555063,-0.375745,-0.000000,-0.000019,-0.000007,-0.000060,-0.003867,-0.001486,-0.007514,-0.555082,-0.375751
3572767113.604827,-0.007515,-0.555101,-0.375759,-0.000000,-0.000019,-0.000006,-0.000060,-0.003866,-0.001485,-0.007515,-0.555120,-0.375766
3572767113.614828,-0.007515,-0.555140,-0.375774,-0.000000,-0.000019,-0.000006,-0.000060,-0.003864,-0.001484,-0.007516,-0.555159,-0.375780
3572767113.624828,-0.007516,-0.555179,-0.375788,-0.000000,-0.000019,-0.000006,-0.000060,-0.003863,-0.001483,-0.007516,-0.555198,-0.375795
3572767113.634827,-0.007517,-0.555217,-0.375803,-0.000000,-0.000019,-0.000006,-0.000060,-0.003861,-0.001482,-0.007517,-0.555237,-0.375809
3572767113.644827,-0.007517,-0.555256,-0.375817,-0.000000,-0.000019,-0.000006,-0.000060,-0.003860,-0.001481,-0.007517,-0.555275,-0.375824
3572767113.654828,-0.007518,-0.555295,-0.375832,-0.000000,-0.000019,-0.000006,-0.000060,-0.003858,-0.001480,-0.007518,-0.555314,-0.375838
3572767113.664827,-0.007518,-0.555333,-0.375846,-0.000000,-0.000019,-0.000006,-0.000060,-0.003857,-0.001479,-0.007519,-0.555352,-0.375853
3572767113.674828,-0.007519,-0.555372,-0.375860,-0.000000,-0.000019,-0.000006,-0.000060,-0.003855,-0.001478,-0.007519,-0.555391,-0.375867
