Absolute Time,eta_hat_psi,eta_hat_x,eta_hat_y,eta_mpsi,eta_mx,eta_my, eta_tilde_psi, eta_tilde_x, eta_tilde_y,nu_psi_hat, nu_x_hat, nu_y_hat
3572761131.624610,-0.086249,1.593172,0.054119,-0.162690,1.528875,0.134555,-0.076441,-0.064297,0.080436,-0.199661,0.217401,0.490528
3572761131.634612,-0.091946,1.589843,0.066054,-0.028955,1.680797,0.089277,0.062991,0.090954,0.023223,-0.203889,0.215472,0.492120
3572761131.644610,-0.090858,1.600691,0.072890,0.159273,1.549200,-0.019535,0.250131,-0.051491,-0.092425,-0.203045,0.217035,0.493024
3572761131.654611,-0.080601,1.597086,0.069051,-0.156151,1.659417,0.160104,-0.075550,0.062331,0.091053,-0.195285,0.216893,0.492308
3572761131.664613,-0.086212,1.605788,0.082032,-0.188528,1.756203,0.014900,-0.102316,0.150415,-0.067132,-0.199567,0.217130,0.494192
3572761131.674610,-0.093173,1.623023,0.079875,-0.143802,1.536177,0.014946,-0.050629,-0.086845,-0.064929,-0.204476,0.219091,0.494518
3572761131.684612,-0.097651,1.617487,0.078056,-0.023430,1.873462,-0.074173,0.074221,0.255975,-0.152228,-0.207439,0.217222,0.494357
3572761131.694613,-0.096047,1.644045,0.068218,0.059344,1.720978,0.017983,0.155391,0.076933,-0.050235,-0.205805,0.221673,0.493247
3572761131.704613,-0.090454,1.653202,0.068248,-0.051519,1.614821,0.074084,0.038935,-0.038381,0.005837,-0.201535,0.223401,0.493060
3572761131.714607,-0.090521,1.651911,0.073383,0.097922,1.663022,-0.062133,0.188443,0.011111,-0.135515,-0.201563,0.222686,0.493719
3572761131.724614,-0.083269,1.654622,0.065364,0.019260,1.590670,-0.060348,0.102529,-0.063951,-0.125713,-0.195936,0.223342,0.492500
3572761131.734613,-0.080167,1.650567,0.058123,-0.199041,1.657065,0.110750,-0.118874,0.006499,0.052626,-0.193408,0.222557,0.491558
3572761131.744614,-0.087880,1.654184,0.067306,0.026735,1.728061,0.054499,0.114615,0.073878,-0.012807,-0.199151,0.221729,0.492952
3572761131.754614,-0.084219,1.663206,0.070834,-0.119995,1.647850,0.094055,-0.035776,-0.015355,0.023221,-0.196421,0.223334,0.493255
3572761131.764615,-0.087893,1.664414,0.077455,0.108686,1.755981,-0.085991,0.196579,0.091568,-0.163446,-0.199136,0.222654,0.494176
3572761131.774614,-0.080219,1.674734,0.066798,-0.038079,1.548134,0.065422,0.042140,-0.126601,-0.001376,-0.193125,0.224664,0.492492
3572761131.784616,-0.080047,1.664991,0.071272,0.068111,1.653988,0.076229,0.148158,-0.011003,0.004957,-0.193013,0.222586,0.492983
3572761131.794615,-0.074684,1.665740,0.076571,0.023918,1.807676,-0.044252,0.098602,0.141936,-0.120823,-0.189139,0.223007,0.493417
3572761131.804615,-0.071709,1.681270,0.069813,-0.052654,1.649134,-0.039466,0.019055,-0.032136,-0.109279,-0.186759,0.225783,0.492420
3572761131.814610,-0.072603,1.680602,0.063977,-0.111985,1.511644,0.050387,-0.039382,-0.168958,-0.013591,-0.187257,0.225382,0.491711
3572761131.824616,-0.076364,1.667163,0.067097,0.131459,1.731117,-0.063876,0.207823,0.063954,-0.130973,-0.189982,0.222290,0.491993
3572761131.834615,-0.068050,1.674742,0.059547,-0.072176,1.727284,0.042826,-0.004126,0.052542,-0.016721,-0.183634,0.224012,0.490651
3572761131.844617,-0.070050,1.682209,0.062461,-0.137846,1.583048,0.014212,-0.067796,-0.099161,-0.048248,-0.185159,0.224892,0.491107
3572761131.854616,-0.075181,1.675525,0.062206,-0.074232,1.641034,0.246739,0.000949,-0.034491,0.184533,-0.188815,0.222956,0.491088
3572761131.864617,-0.076985,1.674702,0.084283,-0.158775,1.850932,-0.000288,-0.081790,0.176230,-0.084571,-0.190558,0.222052,0.493780
3572761131.874618,-0.082853,1.694315,0.080539,0.115817,1.543924,0.111463,0.198670,-0.150392,0.030924,-0.194694,0.224707,0.493819
3572761131.884618,-0.075035,1.681576,0.088399,-0.092220,1.813197,0.044452,-0.017185,0.131621,-0.043947,-0.189080,0.223047,0.494622
3572761131.894617,-0.077727,1.696659,0.088709,-0.123063,1.627165,-0.004371,-0.045336,-0.069494,-0.093080,-0.190985,0.225161,0.494830
3572761131.904619,-0.081814,1.692743,0.084260,0.065929,1.657818,-0.040170,0.147744,-0.034926,-0.124430,-0.193721,0.223831,0.494286
3572761131.914613,-0.076478,1.691235,0.077247,0.106510,1.750750,0.059708,0.182987,0.059515,-0.017539,-0.189513,0.223682,0.493221
3572761131.924618,-0.069376,1.698525,0.080472,0.039075,1.679361,-0.043098,0.108451,-0.019163,-0.123570,-0.184294,0.225467,0.493206
3572761131.934619,-0.065871,1.698662,0.073482,0.066900,1.613746,-0.034909,0.132770,-0.084916,-0.108391,-0.181527,0.225578,0.492167
3572761131.944619,-0.061148,1.692406,0.067979,-0.071239,1.866357,0.130727,-0.010091,0.173951,0.062748,-0.177936,0.224689,0.491315
3572761131.954619,-0.063385,1.711440,0.078468,-0.036977,1.995076,0.115405,0.026408,0.283636,0.036938,-0.179864,0.227571,0.492728
3572761131.964620,-0.063855,1.740794,0.086593,0.094726,1.938433,-0.035715,0.158581,0.197639,-0.122308,-0.180477,0.232540,0.493762
3572761131.974619,-0.057859,1.761380,0.079836,-0.076730,1.846439,0.001296,-0.018871,0.085059,-0.078540,-0.176001,0.236520,0.492397
