L2_continuous,PosXRight,R2_continuous,alpha_VSP1,u_BT,u_VSP1,PosYRight,Absolute Time,alpha_VSP2,u_VSP2
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.433317,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.443317,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.453317,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.463319,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.473318,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.483318,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.493319,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.503317,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.513319,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.523321,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.533319,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.543320,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.553320,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.563320,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.573320,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.583322,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.593323,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.603321,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.613322,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.623322,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.633322,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.643323,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.653323,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.663322,1.570796,0.393631
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200776.673324,1.570796,0.393631
