L2_continuous,PosXRight,R2_continuous,alpha_VSP1,u_BT,u_VSP1,PosYRight,Absolute Time
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.798407
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.808408
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.818406
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.828409
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.838407
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.848409
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.858408
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.868410
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.878410
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.888410
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.898409
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.908410
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.918411
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.928412
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.938411
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.948411
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.958412
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.968411
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.978412
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.988413
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200171.998413
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200172.008412
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200172.018414
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200172.028414
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200172.038413
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200172.048415
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200172.058414
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200172.068414
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200172.078415
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200172.088415
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200172.098416
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200172.108417
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200172.118416
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200172.128417
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200172.138417
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200172.148417
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200172.158416
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200172.168419
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200172.178419
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200172.188418
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200172.198417
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200172.208419
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200172.218418
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200172.228421
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200172.238419
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200172.248419
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200172.258420
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200172.268420
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200172.278421
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200172.288422
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200172.298421
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200172.308422
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200172.318421
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200172.328423
-1.000000,0.000000,1.000000,-1.570796,0.900291,-1.000000,0.000000,3569200172.338422
