u_BT,u_VSP1,Absolute Time
0.000000,0.000000,3568944006.949924
0.000000,0.000000,3568944006.959925
0.000000,0.000000,3568944006.969923
0.000000,0.000000,3568944006.979924
0.000000,0.000000,3568944006.989925
0.000000,0.000000,3568944006.999925
0.000000,0.000000,3568944007.009920
0.000000,0.000000,3568944007.019927
0.000000,0.000000,3568944007.029925
0.000000,0.000000,3568944007.039926
0.000000,0.000000,3568944007.049927
0.000000,0.000000,3568944007.059927
0.000000,0.000000,3568944007.069928
0.000000,0.000000,3568944007.079928
0.000000,0.000000,3568944007.089927
0.000000,0.000000,3568944007.099928
0.000000,0.000000,3568944007.109922
0.000000,0.000000,3568944007.119927
0.000000,0.000000,3568944007.129929
0.000000,0.000000,3568944007.139930
0.000000,0.000000,3568944007.149928
0.000000,0.000000,3568944007.159929
0.000000,0.000000,3568944007.169929
0.000000,0.000000,3568944007.179932
0.000000,0.000000,3568944007.189931
0.000000,0.000000,3568944007.199932
0.000000,0.000000,3568944007.209926
0.000000,0.000000,3568944007.219931
0.000000,0.000000,3568944007.229931
0.000000,0.000000,3568944007.239931
0.000000,0.000000,3568944007.249933
0.000000,0.000000,3568944007.259933
0.000000,0.000000,3568944007.269931
0.000000,0.000000,3568944007.279932
0.000000,0.000000,3568944007.289933
0.000000,0.000000,3568944007.299933
0.000000,0.000000,3568944007.309928
0.000000,0.000000,3568944007.319935
0.000000,0.000000,3568944007.329935
0.000000,0.000000,3568944007.339935
0.000000,0.000000,3568944007.349935
0.000000,0.000000,3568944007.359935
0.000000,0.000000,3568944007.369936
0.000000,0.000000,3568944007.379937
0.000000,0.000000,3568944007.389936
0.000000,0.000000,3568944007.399936
0.000000,0.000000,3568944007.409932
0.000000,0.000000,3568944007.419936
0.000000,0.000000,3568944007.429938
0.000000,0.000000,3568944007.439938
0.000000,0.000000,3568944007.449937
0.000000,0.000000,3568944007.459938
0.000000,0.000000,3568944007.469938
0.000000,0.000000,3568944007.479939
0.000000,0.000000,3568944007.489938
0.000000,0.000000,3568944007.499940
0.000000,0.000000,3568944007.509933
